date,Close,High,Low,Open,Vol
2012/8/24,2092.104,2109.822,2089.217,2108.36,60178948
2012/8/27,2055.708,2085.373,2055.377,2085.373,60314833
2012/8/28,2073.154,2083.956,2052.492,2054.967,54422104
2012/8/29,2053.235,2073.949,2051.775,2066.82,52209808
2012/8/30,2052.585,2060.185,2032.537,2044.033,61963792
2012/8/31,2047.522,2059.302,2044.65,2046.289,46143904
2012/9/3,2059.147,2066.78,2041.161,2044.825,60635498
2012/9/4,2043.649,2063.817,2039.266,2060.613,57462184
2012/9/5,2037.681,2048.319,2029.054,2038.873,57649803
2012/9/6,2051.918,2052.95,2036.366,2040.668,56091817
2012/9/7,2127.762,2145.003,2062.99,2062.99,139932624
2012/9/10,2134.893,2140.168,2120.486,2128.065,103580026
2012/9/11,2120.554,2127.519,2107.219,2127.519,80426638
2012/9/12,2126.554,2137.89,2109.137,2129.687,84114742
2012/9/13,2110.379,2130.079,2109.996,2123.84,79044972
2012/9/14,2123.847,2136.226,2111.12,2127.389,91248271
2012/9/17,2078.5,2121.583,2077.484,2120.617,76392233
2012/9/18,2059.543,2074.762,2053.662,2069.343,53794850
2012/9/19,2067.831,2069.95,2055.198,2061.061,52243629
2012/9/20,2024.837,2060.306,2023.085,2060.306,67482659
2012/9/21,2026.69,2041.948,2018.263,2020.554,60289456
2012/9/24,2033.192,2040.85,2005.263,2015.767,57637779
2012/9/25,2029.293,2039.096,2021.809,2028.633,48219408
2012/9/26,2004.172,2033.036,1999.484,2027.855,50400828
